pasar,komoditas,satuan,harga,tanggal_lengkap
Sepinggan,Cabe/Lombok Keriting,kg,67000,8/6/2025
Sepinggan,Cabe/Lombok Keriting,kg,67000,8/7/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,8/8/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,8/11/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,8/12/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,8/13/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,8/14/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,8/15/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,8/19/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,8/20/2025
Sepinggan,Cabe/Lombok Keriting,kg,57000,8/21/2025
Sepinggan,Cabe/Lombok Keriting,kg,57000,8/22/2025
Sepinggan,Cabe/Lombok Keriting,kg,57000,8/25/2025
Sepinggan,Cabe/Lombok Keriting,kg,57000,8/26/2025
Sepinggan,Cabe/Lombok Keriting,kg,57000,8/27/2025
Sepinggan,Cabe/Lombok Keriting,kg,57000,8/28/2025
Sepinggan,Cabe/Lombok Keriting,kg,57000,8/29/2025
Sepinggan,Cabe/Lombok Keriting,kg,53000,9/3/2025
Sepinggan,Cabe/Lombok Keriting,kg,58000,9/4/2025
Sepinggan,Cabe/Lombok Keriting,kg,58000,9/8/2025
Sepinggan,Cabe/Lombok Keriting,kg,58000,9/9/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,9/10/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,9/11/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,9/12/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,9/15/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,9/16/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,9/17/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,9/18/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,9/19/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,9/22/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,9/23/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,9/24/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,9/25/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,9/26/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,9/29/2025
